feeder,scenario_id,bus,vm_pu,voltage_violation,pv_bin,load_bin,method,conformal_variant,y_pred,lower,upper,q_used,risk_flag
69,210,68,0.9834455263482884,False,0.6,high_load,LinDistFlow physical backbone + global quantile,global,0.9846345467360246,0.9822652527651999,0.9870038407068492,0.002369293970824655,False
69,214,0,1.0,False,0.8,low_load,LinDistFlow physical backbone + global quantile,global,1.0,0.9976307060291754,1.0023692939708246,0.002369293970824655,False
69,214,1,0.999984770235138,False,0.8,low_load,LinDistFlow physical backbone + global quantile,global,0.9999850405608338,0.9976157465900092,1.0023543345316586,0.002369293970824655,False
69,214,2,0.9999695404727202,False,0.8,low_load,LinDistFlow physical backbone + global quantile,global,0.9999700808978761,0.9976007869270515,1.0023393748687008,0.002369293970824655,False
69,214,3,0.999922201972706,False,0.8,low_load,LinDistFlow physical backbone + global quantile,global,0.9999235210255614,0.9975542270547367,1.0022928149963861,0.002369293970824655,False
69,214,4,0.9996153398154484,False,0.8,low_load,LinDistFlow physical backbone + global quantile,global,0.9996254212660766,0.9972561272952519,1.0019947152369013,0.002369293970824655,False
69,214,5,0.9970688052327432,False,0.8,low_load,LinDistFlow physical backbone + global quantile,global,0.9971763619417073,0.9948070679708827,0.999545655912532,0.002369293970824655,False
69,214,6,0.9940278687102388,False,0.8,low_load,LinDistFlow physical backbone + global quantile,global,0.9942239457049507,0.991854651734126,0.9965932396757753,0.002369293970824655,False
69,214,7,0.993313905990532,False,0.8,low_load,LinDistFlow physical backbone + global quantile,global,0.9935293249099547,0.9911600309391301,0.9958986188807794,0.002369293970824655,False
69,214,8,0.9929658711620688,False,0.8,low_load,LinDistFlow physical backbone + global quantile,global,0.9931913138903231,0.9908220199194985,0.9955606078611478,0.002369293970824655,False
69,214,9,0.9923345389737972,False,0.8,low_load,LinDistFlow physical backbone + global quantile,global,0.9925689816896235,0.9901996877187988,0.9949382756604481,0.002369293970824655,False
69,214,10,0.992019444122619,False,0.8,low_load,LinDistFlow physical backbone + global quantile,global,0.9922554601168034,0.9898861661459788,0.9946247540876281,0.002369293970824655,False
69,214,11,0.9914879386043612,False,0.8,low_load,LinDistFlow physical backbone + global quantile,global,0.9917286367391107,0.9893593427682861,0.9940979307099354,0.002369293970824655,False
69,214,12,0.9917894481466364,False,0.8,low_load,LinDistFlow physical backbone + global quantile,global,0.9920347377889627,0.989665443818138,0.9944040317597873,0.002369293970824655,False
69,214,13,0.9921438074449528,False,0.8,low_load,LinDistFlow physical backbone + global quantile,global,0.9923920931607187,0.9900227991898941,0.9947613871315434,0.002369293970824655,False
69,214,14,0.991423664134716,False,0.8,low_load,LinDistFlow physical backbone + global quantile,global,0.9916737876724203,0.9893044937015957,0.994043081643245,0.002369293970824655,False
69,214,15,0.9912898942900792,False,0.8,low_load,LinDistFlow physical backbone + global quantile,global,0.9915402188373248,0.9891709248665002,0.9939095128081494,0.002369293970824655,False
69,214,16,0.9911218417321088,False,0.8,low_load,LinDistFlow physical backbone + global quantile,global,0.9913724306692729,0.9890031366984483,0.9937417246400976,0.002369293970824655,False
69,214,17,0.9911211068785688,False,0.8,low_load,LinDistFlow physical backbone + global quantile,global,0.9913716981027212,0.9890024041318966,0.9937409920735458,0.002369293970824655,False
69,214,18,0.9911699885353475,False,0.8,low_load,LinDistFlow physical backbone + global quantile,global,0.9914206904188648,0.9890513964480402,0.9937899843896895,0.002369293970824655,False
69,214,19,0.9912017597800786,False,0.8,low_load,LinDistFlow physical backbone + global quantile,global,0.9914525087784963,0.9890832148076717,0.993821802749321,0.002369293970824655,False
