experiment,comparison,metric,split_name,seed,delta,baseline_value,primary_value
multiseed_budgeted_ac_triage,VoltGuard 20pct budget minus oracle,severity_capture_under_budget,random_interpolation,42,-0.1778824365474445,0.54924209917526,0.3713596626278155
multiseed_budgeted_ac_triage,VoltGuard 20pct budget minus oracle,severity_reduction_ratio,random_interpolation,7,0.02210406224921241,0.2078851669845428,0.2299892292337552
multiseed_budgeted_ac_triage,VoltGuard 20pct budget minus oracle,severity_reduction_ratio,random_interpolation,17,0.023307847811652793,0.1750833481916646,0.1983911960033174
multiseed_budgeted_ac_triage,VoltGuard 20pct budget minus oracle,severity_reduction_ratio,random_interpolation,42,-0.010906874920239285,0.173756998965004,0.1628501240447647
multiseed_budgeted_ac_triage,VoltGuard 20pct budget minus oracle,post_policy_violating_scenarios,random_interpolation,7,-5.0,93.0,88.0
multiseed_budgeted_ac_triage,VoltGuard 20pct budget minus oracle,post_policy_violating_scenarios,random_interpolation,17,-7.0,91.0,84.0
multiseed_budgeted_ac_triage,VoltGuard 20pct budget minus oracle,post_policy_violating_scenarios,random_interpolation,42,-6.0,93.0,87.0
multiseed_budgeted_ac_triage,VoltGuard 20pct budget minus oracle,post_policy_violating_buses,random_interpolation,7,-166.0,848.0,682.0
multiseed_budgeted_ac_triage,VoltGuard 20pct budget minus oracle,post_policy_violating_buses,random_interpolation,17,-155.0,812.0,657.0
multiseed_budgeted_ac_triage,VoltGuard 20pct budget minus oracle,post_policy_violating_buses,random_interpolation,42,-147.0,763.0,616.0
multiseed_budgeted_ac_triage,VoltGuard 20pct budget minus oracle,action_cost_proxy_mw,random_interpolation,7,3.1738847895476106,17.465089707191332,20.638974496738943
multiseed_budgeted_ac_triage,VoltGuard 20pct budget minus oracle,action_cost_proxy_mw,random_interpolation,17,3.9860689043158626,15.65506515129134,19.641134055607203
multiseed_budgeted_ac_triage,VoltGuard 20pct budget minus oracle,action_cost_proxy_mw,random_interpolation,42,0.8139825838479453,14.636699380162762,15.450681964010707
