family,calibration_samples,group_q,q_used,shrinkage,split_name,seed,method,conformal_variant,test_samples,coverage,avg_width,precision,recall,f1,false_alarm_rate,missed_violations
feeder=69|pv_bin=0.2|load_bin=low_load,621,5.695978848769187e-05,5.695978848769187e-05,False,random_interpolation,7,VoltGuard topology-aware residual,topology_pv_loading_no_shrinkage,690,0.9130434782608695,0.00011391957697547546,1.0,1.0,1.0,0.0,0
feeder=69|pv_bin=0.4|load_bin=high_load,276,0.00036998559880610553,0.00036998559880610553,False,random_interpolation,7,VoltGuard topology-aware residual,topology_pv_loading_no_shrinkage,276,1.0,0.0007399711976121821,1.0,1.0,1.0,0.0,0
feeder=69|pv_bin=0.4|load_bin=low_load,414,7.395241163897078e-05,7.395241163897078e-05,False,random_interpolation,7,VoltGuard topology-aware residual,topology_pv_loading_no_shrinkage,483,0.7494824016563147,0.00014790482327795023,1.0,1.0,1.0,0.0,0
feeder=69|pv_bin=0.6|load_bin=high_load,345,0.0003178071369279307,0.0003178071369279307,False,random_interpolation,7,VoltGuard topology-aware residual,topology_pv_loading_no_shrinkage,69,1.0,0.0006356142738558882,1.0,1.0,1.0,0.0,0
feeder=69|pv_bin=0.6|load_bin=low_load,621,0.0002417088754790328,0.0002417088754790328,False,random_interpolation,7,VoltGuard topology-aware residual,topology_pv_loading_no_shrinkage,828,0.9939613526570048,0.0004834177509580949,1.0,1.0,1.0,0.0,0
feeder=69|pv_bin=0.8|load_bin=high_load,483,0.00043133467155245943,0.00043133467155245943,False,random_interpolation,7,VoltGuard topology-aware residual,topology_pv_loading_no_shrinkage,276,0.967391304347826,0.0008626693431049103,1.0,1.0,1.0,0.0,0
feeder=69|pv_bin=0.8|load_bin=low_load,276,0.00017665714441928446,0.00017665714441928446,False,random_interpolation,7,VoltGuard topology-aware residual,topology_pv_loading_no_shrinkage,759,0.8603425559947299,0.00035331428883856496,1.0,1.0,1.0,0.0,0
feeder=33,1980,0.0036513256822010487,0.003615677674499212,True,random_interpolation,7,Neural graph residual ablation,topology_conditioned,1980,0.8924242424242425,0.007231355348998428,0.8282208588957055,0.9981515711645101,0.9052808046940486,0.0778318276580959,1
feeder=69,4140,0.0022448955477166735,0.002260578367864932,True,random_interpolation,7,Neural graph residual ablation,topology_conditioned,4140,0.9234299516908212,0.004521156735729918,0.9768041237113402,0.9973684210526316,0.9869791666666666,0.0023936170212765957,1
__global__,6120,0.000548642651263303,0.000548642651263303,True,synthetic_time_block,7,Boosting point + global conformal,global,6120,0.8725490196078431,0.001097285302526612,0.979381443298969,0.9978991596638656,0.9885535900104059,0.003869969040247678,2
__global__,6120,0.00023263022551461686,0.00023263022551461686,True,synthetic_time_block,7,VoltGuard topology-aware residual,global,6120,0.8978758169934641,0.0004652604510291498,0.9854922279792746,0.9989495798319328,0.9921752738654147,0.0027089783281733747,1
pv_bin=0.2,2007,0.00010273685948371364,0.00010890170836985048,True,synthetic_time_block,7,VoltGuard topology-aware residual,pv_conditioned,1596,0.8583959899749374,0.00021780341673970844,0.9975786924939467,1.0,0.9987878787878788,0.0008445945945945946,0
pv_bin=0.4,1293,0.0002060082251576145,0.00020791935224713368,True,synthetic_time_block,7,VoltGuard topology-aware residual,pv_conditioned,1257,0.8520286396181385,0.00041583870449433643,0.9905660377358491,1.0,0.995260663507109,0.0019102196752626551,0
pv_bin=0.6,1632,0.0002381880183569695,0.00023786712962473207,True,synthetic_time_block,7,VoltGuard topology-aware residual,pv_conditioned,1497,0.9178356713426854,0.0004757342592494332,0.9759036144578314,1.0,0.9878048780487805,0.00299625468164794,0
pv_bin=0.8,1188,0.0004277312271099328,0.000412583633818371,True,synthetic_time_block,7,VoltGuard topology-aware residual,pv_conditioned,1770,0.9485875706214689,0.000825167267636745,0.9709302325581395,0.9940476190476191,0.9823529411764705,0.003121098626716604,1
feeder=33,1980,0.0003563405795650761,0.0003503929663895732,True,synthetic_time_block,7,VoltGuard topology-aware residual,topology_conditioned,1980,0.9409090909090909,0.0007007859327792195,0.9736346516007532,0.9980694980694981,0.9857006673021925,0.009575923392612859,1
feeder=69,4140,0.0001939290431099786,0.00019484180684593705,True,synthetic_time_block,7,VoltGuard topology-aware residual,topology_conditioned,4140,0.8874396135265701,0.00038968361369188186,0.9886104783599089,1.0,0.9942726231386025,0.0013491635186184566,0
feeder=33|pv_bin=0.2|load_bin=high_load,330,0.000320185138801676,0.00029982353106049946,True,synthetic_time_block,7,VoltGuard topology-aware residual,topology_pv_loading_conditioned,363,0.9476584022038568,0.0005996470621210108,0.9951923076923077,1.0,0.9975903614457832,0.00641025641025641,0
feeder=33|pv_bin=0.2|load_bin=low_load,297,6.62136099148683e-05,0.00010813215288709715,True,synthetic_time_block,7,VoltGuard topology-aware residual,topology_pv_loading_conditioned,198,0.8282828282828283,0.0002162643057741498,0.9878048780487805,1.0,0.9938650306748467,0.008547008547008548,0
feeder=33|pv_bin=0.4|load_bin=high_load,198,0.0002854661574324932,0.00026773597893656154,True,synthetic_time_block,7,VoltGuard topology-aware residual,topology_pv_loading_conditioned,297,0.9057239057239057,0.0005354719578731762,1.0,1.0,1.0,0.0,0
feeder=33|pv_bin=0.4|load_bin=low_load,198,0.00014056348274023428,0.00017145836286586603,True,synthetic_time_block,7,VoltGuard topology-aware residual,topology_pv_loading_conditioned,132,0.8257575757575758,0.0003429167257318277,0.0,0.0,0.0,0.007575757575757576,0
feeder=33|pv_bin=0.6|load_bin=high_load,297,0.00042270023372121965,0.0003748236573467605,True,synthetic_time_block,7,VoltGuard topology-aware residual,topology_pv_loading_conditioned,264,0.9659090909090909,0.0007496473146935155,0.9692307692307692,1.0,0.984375,0.009950248756218905,0
