method,variant,calibration_fraction,repeat,calibration_scenarios,calibration_bus_samples,global_q,families_total_test,families_observed_calib,empty_test_families,min_family_bus_samples,min_family_scenario_samples,median_family_scenario_samples,mae,rmse,max_abs_error,coverage,avg_width,precision,recall,f1,false_alarm_rate,missed_violations,scenario_precision,scenario_recall,scenario_f1,scenario_false_alarm_rate,missed_risky_scenarios,test_scenarios
Boosting point + global conformal,global,0.25,12,30,1566,0.0006241124482250807,1,1,0,1566,30,30.0,0.0002871706248397735,0.0004145545321376289,0.00587799314880133,0.9269607843137255,0.0012482248964502593,0.9850107066381156,0.998914223669924,0.9919137466307277,0.0026928255433737256,1,0.9893617021276596,1.0,0.9946524064171123,0.037037037037037035,0,120
Boosting point + global conformal,global,0.25,13,30,1530,0.000538037406309681,1,1,0,1530,30,30.0,0.0002871706248397735,0.0004145545321376289,0.00587799314880133,0.9050653594771242,0.0010760748126193073,0.9860365198711063,0.996742671009772,0.9913606911447084,0.002500480861704174,3,0.9893617021276596,1.0,0.9946524064171123,0.037037037037037035,0,120
Boosting point + global conformal,global,0.25,14,30,1422,0.0005666365501336982,1,1,0,1422,30,30.0,0.0002871706248397735,0.0004145545321376289,0.00587799314880133,0.9150326797385621,0.00113327310026736,0.9860664523043944,0.998914223669924,0.9924487594390508,0.002500480861704174,1,0.9893617021276596,1.0,0.9946524064171123,0.037037037037037035,0,120
Boosting point + global conformal,global,0.25,15,30,1458,0.0006601957963359953,1,1,0,1458,30,30.0,0.0002871706248397735,0.0004145545321376289,0.00587799314880133,0.9348039215686275,0.0013203915926720345,0.9850107066381156,0.998914223669924,0.9919137466307277,0.0026928255433737256,1,0.9893617021276596,1.0,0.9946524064171123,0.037037037037037035,0,120
Boosting point + global conformal,global,0.25,16,30,1458,0.0004846688890311706,1,1,0,1458,30,30.0,0.0002871706248397735,0.0004145545321376289,0.00587799314880133,0.884313725490196,0.0009693377780624,0.9934782608695653,0.992399565689468,0.9929386203150462,0.001154068090017311,7,0.9893617021276596,1.0,0.9946524064171123,0.037037037037037035,0,120
Boosting point + global conformal,global,0.25,17,30,1602,0.0005851568611413339,1,1,0,1602,30,30.0,0.0002871706248397735,0.0004145545321376289,0.00587799314880133,0.9186274509803921,0.001170313722282692,0.9860664523043944,0.998914223669924,0.9924487594390508,0.002500480861704174,1,0.9893617021276596,1.0,0.9946524064171123,0.037037037037037035,0,120
Boosting point + global conformal,global,0.25,18,30,1494,0.0005003209711766189,1,1,0,1494,30,30.0,0.0002871706248397735,0.0004145545321376289,0.00587799314880133,0.890032679738562,0.0010006419423531838,0.9913419913419913,0.99457111834962,0.9929539295392954,0.0015387574533564147,5,0.9893617021276596,1.0,0.9946524064171123,0.037037037037037035,0,120
Boosting point + global conformal,global,0.25,19,30,1638,0.0005554344045618799,1,1,0,1638,30,30.0,0.0002871706248397735,0.0004145545321376289,0.00587799314880133,0.9104575163398693,0.0011108688091237193,0.9860365198711063,0.996742671009772,0.9913606911447084,0.002500480861704174,3,0.9893617021276596,1.0,0.9946524064171123,0.037037037037037035,0,120
Boosting point + global conformal,global,0.5,0,60,2844,0.0004871896531102864,1,1,0,2844,60,60.0,0.0002871706248397735,0.0004145545321376289,0.00587799314880133,0.8854575163398692,0.0009743793062204699,0.991332611050921,0.993485342019544,0.9924078091106291,0.0015387574533564147,6,0.9893617021276596,1.0,0.9946524064171123,0.037037037037037035,0,120
Boosting point + global conformal,global,0.5,1,60,3204,0.0005598519872818819,1,1,0,3204,60,60.0,0.0002871706248397735,0.0004145545321376289,0.00587799314880133,0.9120915032679738,0.0011197039745638262,0.9860664523043944,0.998914223669924,0.9924487594390508,0.002500480861704174,1,0.9893617021276596,1.0,0.9946524064171123,0.037037037037037035,0,120
