feeder,scenario_id,load_relief,pv_curtail,predicted_risk_buses,predicted_interval_severity,predicted_mean_width,ldf_point_severity
33,59,0.0,0.1,20,0.03456095759076694,0.0005274910307726566,0.03143368810661029
33,59,0.0,0.2,20,0.035118221342484324,0.0005274910307726566,0.03196565856493039
33,59,0.1,0.0,16,0.02439586515298997,0.0002837756508875522,0.02196767552829537
33,59,0.1,0.1,16,0.025070934995474303,0.0005274910307726566,0.02249421674414709
33,59,0.1,0.2,17,0.025607324562120337,0.0005274910307726566,0.023021057045117477
33,59,0.2,0.0,12,0.014912934288659918,0.0002837756508875522,0.013118521961296925
33,59,0.2,0.1,13,0.015577281447999414,0.0005274910307726566,0.013640087038812365
33,59,0.2,0.2,15,0.01611816767700136,0.0005274910307726566,0.01416194279705596
33,72,0.0,0.0,9,0.00912245033614012,0.0007026593885042198,0.006638597764671239
33,72,0.0,0.1,11,0.012846530025344638,0.0005274910307726566,0.010390146755656637
33,72,0.0,0.2,15,0.016646556667173185,0.0005274910307726566,0.014156734596915799
33,72,0.1,0.0,0,0.0,0.0007026593885042232,0.0
33,72,0.1,0.1,3,0.002779534528878025,0.0005274910307726566,0.0008226394900344713
33,72,0.1,0.2,6,0.006542373926053946,0.0005274910307726566,0.004551110428958172
33,72,0.2,0.0,0,0.0,0.0003617790795755984,0.0
33,72,0.2,0.1,0,0.0,0.0005274910307726768,0.0
33,72,0.2,0.2,0,0.0,0.0005274910307726633,0.0
33,84,0.0,0.0,10,0.013380287363815357,0.0007579145766942775,0.011084670101018101
33,84,0.0,0.1,13,0.015456810528882037,0.0005274910307726566,0.013239464227435382
33,84,0.0,0.2,14,0.017647959622586584,0.0005274910307726566,0.015399226384607112
33,84,0.1,0.0,4,0.004099984988685912,0.00040027599572001193,0.0026629467893728442
33,84,0.1,0.1,5,0.006406299084425471,0.0005274910307726566,0.0047985415545621635
33,84,0.1,0.2,9,0.008611509189831668,0.0005274910307726566,0.006938972436581259
33,84,0.2,0.0,0,0.0,0.00040027599572001193,0.0
33,84,0.2,0.1,0,0.0,0.0005274910307726566,0.0
33,84,0.2,0.2,0,0.0,0.0005274910307726566,0.0
33,86,0.0,0.0,0,0.0,0.00036177907957557487,0.0
33,86,0.0,0.1,0,0.0,0.0005274910307726566,0.0
33,86,0.0,0.2,0,0.0,0.0005274910307726566,0.0
33,86,0.1,0.0,0,0.0,0.00036177907957557487,0.0
33,86,0.1,0.1,0,0.0,0.0005274910307726532,0.0
33,86,0.1,0.2,0,0.0,0.0005274910307726532,0.0
33,86,0.2,0.0,0,0.0,0.00036177907957557487,0.0
33,86,0.2,0.1,0,0.0,0.0005274910307726566,0.0
33,86,0.2,0.2,0,0.0,0.0005274910307726532,0.0
33,94,0.0,0.0,17,0.025006949478917795,0.0006887679490457066,0.022381851183185253
33,94,0.0,0.1,17,0.026545763414858148,0.0005274910307726566,0.02392499523367575
33,94,0.0,0.2,17,0.028203263997187644,0.0005274910307726566,0.025470714962711027
33,94,0.1,0.0,14,0.015291088240902084,0.0002837756508875522,0.013363249400127453
33,94,0.1,0.1,16,0.016963660124001523,0.0005274910307726566,0.014891510565270938
33,94,0.1,0.2,16,0.018586054517241157,0.0005274910307726566,0.0164222734814663
33,94,0.2,0.0,9,0.0058124698482846515,0.0002837756508875522,0.004430660853345314
33,94,0.2,0.1,10,0.0075080282389854425,0.0005274910307726566,0.005944461605751572
33,94,0.2,0.2,10,0.009054101534136438,0.0005274910307726566,0.007460693651735517
33,95,0.0,0.0,21,0.03903325890425591,0.0006887679490457066,0.035389456770978045
33,95,0.0,0.1,21,0.040250575857107784,0.0005274910307726566,0.03666165295426249
33,95,0.0,0.2,21,0.04161931136781383,0.0005274910307726566,0.03793562366311354
33,95,0.1,0.0,17,0.028114304489682995,0.0006887679490457066,0.025236943423579183
33,95,0.1,0.1,17,0.029328992865538694,0.0005274910307726566,0.026495153663437465
33,95,0.1,0.2,18,0.030604062622672124,0.0005274910307726566,0.027755080466326687
33,95,0.2,0.0,15,0.017371606240120574,0.0002837756508875522,0.01519468559948689
33,95,0.2,0.1,16,0.018772889037879548,0.0005274910307726566,0.016439361246418094
33,95,0.2,0.2,16,0.020027183894369194,0.0005274910307726566,0.017685698581991538
33,104,0.0,0.0,0,0.0,0.00040027599572001193,0.0
33,104,0.0,0.1,0,0.0,0.0005274910307726566,0.0
33,104,0.0,0.2,0,0.0,0.0005274910307726566,0.0
33,104,0.1,0.0,0,0.0,0.00040027599572001193,0.0
33,104,0.1,0.1,0,0.0,0.0005274910307726566,0.0
33,104,0.1,0.2,0,0.0,0.0005274910307726566,0.0
33,104,0.2,0.0,0,0.0,0.0004002759957200086,0.0
