method,variant,feeder,scenario_id,branch_count,drop_rmse,drop_mae,drop_max_abs,scenario_violation_any,realized_severity
Boosting point + global conformal,global,33,17,32,0.00030002652211224916,0.00021922835670608922,0.0007884422778193546,False,0.0
Boosting point + global conformal,global,33,18,32,0.00030083497461206286,0.0002331484421230233,0.0007569743781395688,False,0.0
Boosting point + global conformal,global,33,22,32,0.0005568536507914183,0.0005105477678753451,0.0010008607673505602,True,0.0552917081226183
Boosting point + global conformal,global,33,27,32,0.0009243499228388936,0.0007264254368244411,0.002201371730970788,True,0.1551224583310702
Boosting point + global conformal,global,33,31,32,0.0003322945068958043,0.000279129781194244,0.0008119674368117641,False,0.0
Boosting point + global conformal,global,33,38,32,0.00044873776471156636,0.00037579974608790447,0.0011974795772476065,False,0.0
Boosting point + global conformal,global,33,47,32,0.0006485067375006452,0.0005495987489857251,0.0012146036929061004,True,0.08415635702774504
Boosting point + global conformal,global,33,52,32,0.000504016883473119,0.0004199348972921173,0.0010354648789051716,True,0.04696192729654436
Boosting point + global conformal,global,33,59,32,0.0009092994265558065,0.0007384847086888817,0.0017908217955359823,True,0.3835340158960511
Boosting point + global conformal,global,33,72,32,0.0004385125213346766,0.00034136435653663196,0.001185211069654607,True,0.033252052712791524
Boosting point + global conformal,global,33,84,32,0.0006689803870814918,0.0005099623150330182,0.0016462714451877072,True,0.06989930261102983
Boosting point + global conformal,global,33,86,32,0.0002675972423449809,0.00022687041822477285,0.0006034629268802001,False,0.0
Boosting point + global conformal,global,33,94,32,0.000800068132021084,0.0006465912479296833,0.0018964818654475185,True,0.2604549408835587
Boosting point + global conformal,global,33,95,32,0.0010403518098626638,0.0007942478252274908,0.00282698676714009,True,0.48322990210574157
Boosting point + global conformal,global,33,104,32,0.00045091072318205065,0.0003470021685351444,0.0011015812808781336,False,0.0
Boosting point + global conformal,global,33,105,32,0.0007980405721300597,0.0006066178683080886,0.0021263909668935,False,0.0
Boosting point + global conformal,global,33,112,32,0.0006511493028107822,0.00047792892341673486,0.0016515854398801886,True,0.14445998461291076
Boosting point + global conformal,global,33,116,32,0.0005780185625295476,0.0004745720286549976,0.001274803530347467,True,0.11164549971583693
Boosting point + global conformal,global,33,122,32,0.0011012133355095006,0.0008424271492501619,0.002882937682959147,True,0.6000522461669653
Boosting point + global conformal,global,33,124,32,0.0010996597441969048,0.0007781483936585825,0.003245344938273916,True,0.3513432212144152
Boosting point + global conformal,global,33,128,32,0.0005592735175226955,0.00042464325858343504,0.001347912826632337,False,0.0
Boosting point + global conformal,global,33,131,32,0.0006148378458924646,0.0004894037875261408,0.0015210876004005628,True,0.03767402030753553
Boosting point + global conformal,global,33,133,32,0.0013745796832919694,0.0009423394242725788,0.003912453410831794,True,0.6911090303790584
Boosting point + global conformal,global,33,134,32,0.0005773937855645675,0.0004054134794930322,0.001968934099462801,True,0.0637471952736508
Boosting point + global conformal,global,33,135,32,0.0005210691501206126,0.000415281901280878,0.0014101248073259375,True,0.09807450431444531
Boosting point + global conformal,global,33,136,32,0.0006895382933649093,0.000578087745879435,0.0014415320584044583,True,0.3389819545179208
Boosting point + global conformal,global,33,137,32,0.0003870349672264892,0.0003039379202078798,0.0010172142024954742,True,0.042344970367476975
Boosting point + global conformal,global,33,139,32,0.0003212873675739856,0.0002589362909441126,0.0007879582885892706,True,0.00037938127207870487
Boosting point + global conformal,global,33,141,32,0.000559527963239055,0.0004562868346662731,0.001428419325339002,True,0.008966849030157431
Boosting point + global conformal,global,33,143,32,0.0009004270154693609,0.0006699146371615008,0.0024594466750968366,True,0.29823051427938285
Boosting point + global conformal,global,33,149,32,0.0005544844048448681,0.0004388505822561627,0.0014171513204616001,True,0.020592570257536136
Boosting point + global conformal,global,33,153,32,0.0008499722617669109,0.0005953946666605824,0.0021514476713207246,True,0.33890299260384715
Boosting point + global conformal,global,33,159,32,0.000691066705182683,0.0005390815471481072,0.0016421897543015262,True,0.0395997909414626
Boosting point + global conformal,global,33,161,32,0.0008290364015452303,0.0006821585768535044,0.0015733290352818261,True,0.43630071226698386
Boosting point + global conformal,global,33,162,32,0.0006077373297204574,0.00042469772857714824,0.001559136201996084,True,0.016115566658850278
Boosting point + global conformal,global,33,170,32,0.001261770875223225,0.0008712247686530893,0.004154632805585734,True,0.6077469434902997
Boosting point + global conformal,global,33,178,32,0.0003775069861291794,0.0002837035435494068,0.0011036494896748336,False,0.0
Boosting point + global conformal,global,33,180,32,0.0005922354117563209,0.00047912334839487217,0.0013485707825815632,True,0.013742531231571431
Boosting point + global conformal,global,33,199,32,0.0005817559892627572,0.00045669588685666874,0.001864342729323691,True,0.15362603940721098
Boosting point + global conformal,global,33,200,32,0.0026795923806331207,0.001524091636019853,0.012078585389782445,True,0.7298739149217645
Boosting point + global conformal,global,33,201,32,0.0004676737636368833,0.0003792028020836616,0.0009080035275318652,False,0.0
Boosting point + global conformal,global,33,206,32,0.0005804753309226029,0.0004919870127751073,0.0012531217447691722,True,0.1955177373435918
Boosting point + global conformal,global,33,213,32,0.0003069269697051181,0.00024353291593201141,0.0005903610002107975,False,0.0
Boosting point + global conformal,global,33,215,32,0.00040581806871200273,0.0002976136015838219,0.0012016212198895076,True,0.018360807520329647
Boosting point + global conformal,global,33,221,32,0.0004022011575659466,0.0003418063965591742,0.0008428227642788642,False,0.0
Boosting point + global conformal,global,33,233,32,0.00048043366402074464,0.000355302853868946,0.0014108193571159711,True,0.0034177914103068474
Boosting point + global conformal,global,33,235,32,0.00040639020550374804,0.0003072257214626194,0.0011845432055256357,False,0.0
Boosting point + global conformal,global,33,236,32,0.0005257243324316228,0.0004320137911902584,0.0012389972105688683,True,0.12158032691799847
Boosting point + global conformal,global,33,238,32,0.0004382262758782222,0.00034443134809463544,0.0010926132049115713,False,0.0
Boosting point + global conformal,global,33,240,32,0.0006810185982899053,0.000499086462503537,0.0016271539098644192,True,0.10154004665838001
Boosting point + global conformal,global,33,243,32,0.0007081265960654777,0.0005827442964126114,0.002057729024350464,True,0.2510339348117949
Boosting point + global conformal,global,33,244,32,0.0009428343206537155,0.0007237906267548171,0.00229853217062894,True,0.3214545361243055
Boosting point + global conformal,global,33,260,32,0.00028698052122497214,0.00024035723837793535,0.0005280940121258817,False,0.0
Boosting point + global conformal,global,33,264,32,0.0002911205377870639,0.0002481763533906785,0.0005680927362495501,True,0.005113949509944482
Boosting point + global conformal,global,33,285,32,0.000691410497501244,0.0005715315246198997,0.0012969955344833443,True,0.16453499471995825
Boosting point + global conformal,global,33,289,32,0.0003807561539007334,0.0003157130606635623,0.0008139583766542807,False,0.0
Boosting point + global conformal,global,33,292,32,0.0003117143819800013,0.00025200486724506424,0.0006559418458157301,False,0.0
Boosting point + global conformal,global,69,4,68,0.0002346826509933384,0.00015600263009756294,0.000805308745035295,False,0.0
Boosting point + global conformal,global,69,5,68,0.0003636542874430859,0.00021085373960069427,0.0018639972591063775,True,0.16517353471993257
Boosting point + global conformal,global,69,16,68,0.0002735477207435055,0.00017834594740725353,0.0010507790346962718,False,0.0
Boosting point + global conformal,global,69,17,68,0.0003298951419637228,0.00020773806907729015,0.001088926991231762,True,0.03817669116193312
Boosting point + global conformal,global,69,20,68,0.0004494139268147956,0.00026375928271134725,0.0021289095469466126,True,0.24598212452850132
Boosting point + global conformal,global,69,22,68,0.0003777756192782835,0.00021290605452583538,0.0017182226972213529,True,0.08964216081351506
Boosting point + global conformal,global,69,27,68,0.00033079253667029317,0.00018918219167994785,0.0012004099432652948,True,0.08878314838979118
Boosting point + global conformal,global,69,28,68,0.0005310283678459933,0.00033424200603553807,0.002181495606025259,True,0.18265914590317733
Boosting point + global conformal,global,69,34,68,0.0003357204576496652,0.00020431540622650707,0.0012100972709589188,False,0.0
Boosting point + global conformal,global,69,38,68,0.0002574004383803665,0.0001479270180482498,0.001098147819275773,True,0.03135561239619822
