policy,cost_weight,top_k_candidates,test_scenarios,candidate_grid_size,candidate_ac_audits,candidate_ac_audits_avoided,audit_reduction_ratio,full_best_in_subset_rate,same_action_as_full_rate,post_action_violating_scenarios,full_post_action_violating_scenarios,extra_violating_scenarios_vs_full,post_action_violating_buses,full_post_action_violating_buses,extra_violating_buses_vs_full,action_cost_proxy_mw,full_action_cost_proxy_mw,action_cost_delta_vs_full_mw,accepted_pv_mw,curtailed_pv_mw,relieved_load_mw
VoltGuard risk-cost candidate screening,0.8,2,120,9,240,840,0.7777777777777778,0.9916666666666667,0.9916666666666667,52,51,1,401,398,3,58.77158911855894,59.14266215081935,-0.371073032260405,191.23095295448223,0.0,58.77158911855894
VoltGuard risk-cost candidate screening,0.8,3,120,9,360,720,0.6666666666666666,1.0,1.0,51,51,0,398,398,0,59.14266215081935,59.14266215081935,0.0,191.23095295448223,0.0,59.14266215081935
VoltGuard risk-cost candidate screening,0.8,5,120,9,600,480,0.4444444444444444,1.0,1.0,51,51,0,398,398,0,59.14266215081935,59.14266215081935,0.0,191.23095295448223,0.0,59.14266215081935
VoltGuard risk-cost candidate screening,1.0,1,120,9,120,960,0.8888888888888888,0.825,0.825,64,51,13,473,398,75,49.44076644798437,59.14266215081935,-9.701895702834975,191.23095295448223,0.0,49.44076644798437
VoltGuard risk-cost candidate screening,1.0,2,120,9,240,840,0.7777777777777778,0.9583333333333334,0.9583333333333334,55,51,4,409,398,11,57.4011784804984,59.14266215081935,-1.741483670320946,191.23095295448223,0.0,57.4011784804984
VoltGuard risk-cost candidate screening,1.0,3,120,9,360,720,0.6666666666666666,0.9916666666666667,0.9916666666666667,52,51,1,400,398,2,58.891683871364116,59.14266215081935,-0.2509782794552322,191.23095295448223,0.0,58.891683871364116
VoltGuard risk-cost candidate screening,1.0,5,120,9,600,480,0.4444444444444444,1.0,1.0,51,51,0,398,398,0,59.14266215081935,59.14266215081935,0.0,191.23095295448223,0.0,59.14266215081935
VoltGuard risk-cost candidate screening,1.5,1,120,9,120,960,0.8888888888888888,0.4583333333333333,0.4583333333333333,75,51,24,772,398,374,13.038768039185017,59.14266215081935,-46.10389411163433,191.23095295448223,0.0,13.038768039185017
VoltGuard risk-cost candidate screening,1.5,2,120,9,240,840,0.7777777777777778,0.6083333333333333,0.6083333333333333,68,51,17,605,398,207,31.837815732673885,59.14266215081935,-27.304846418145463,191.23095295448223,0.0,31.837815732673885
VoltGuard risk-cost candidate screening,1.5,3,120,9,360,720,0.6666666666666666,0.7166666666666667,0.7166666666666667,60,51,9,522,398,124,42.23914555058388,59.14266215081935,-16.90351660023547,191.23095295448223,0.0,42.23914555058388
VoltGuard risk-cost candidate screening,1.5,5,120,9,600,480,0.4444444444444444,0.9416666666666667,0.9416666666666667,55,51,4,416,398,18,56.81957999436465,59.14266215081935,-2.3230821564546957,191.23095295448223,0.0,56.81957999436465
VoltGuard risk-cost candidate screening,2.0,1,120,9,120,960,0.8888888888888888,0.35833333333333334,0.35833333333333334,83,51,32,860,398,462,4.490347854915694,59.14266215081935,-54.65231429590365,191.23095295448223,0.0,4.490347854915694
VoltGuard risk-cost candidate screening,2.0,2,120,9,240,840,0.7777777777777778,0.4583333333333333,0.4583333333333333,72,51,21,722,398,324,16.94064877883052,59.14266215081935,-42.202013371988826,191.23095295448223,0.0,16.94064877883052
VoltGuard risk-cost candidate screening,2.0,3,120,9,360,720,0.6666666666666666,0.5666666666666667,0.5666666666666667,67,51,16,626,398,228,29.32616200125394,59.14266215081935,-29.816500149565407,191.23095295448223,0.0,29.32616200125394
VoltGuard risk-cost candidate screening,2.0,5,120,9,600,480,0.4444444444444444,0.8333333333333334,0.8333333333333334,58,51,7,475,398,77,51.731219698909534,59.14266215081935,-7.411442451909814,191.23095295448223,0.0,51.731219698909534
VoltGuard risk-cost candidate screening,3.0,1,120,9,120,960,0.8888888888888888,0.26666666666666666,0.26666666666666666,92,51,41,916,398,518,0.2614619693836275,59.14266215081935,-58.88120018143572,191.23095295448223,0.0,0.2614619693836275
VoltGuard risk-cost candidate screening,3.0,2,120,9,240,840,0.7777777777777778,0.425,0.425,75,51,24,792,398,394,11.740121272124693,59.14266215081935,-47.40254087869465,191.23095295448223,0.0,11.740121272124693
