split_name,seed,method,conformal_variant,mae,rmse,max_abs_error,coverage,avg_width,precision,recall,f1,false_alarm_rate,missed_violations
random_interpolation,17,VoltGuard topology-aware residual,topology_pv_loading_no_shrinkage,0.000101832789539387,0.00019641174472963347,0.0025977541827689743,0.8908496732026144,0.000513676442934081,0.9853768278965129,1.0,0.9926345609065156,0.002479023646071701,0
synthetic_time_block,17,LinDistFlow physical backbone,none,0.0010814240475998946,0.0016017368529050915,0.0066059391731750905,,,1.0,0.9411764705882353,0.9696969696969697,0.0,56
synthetic_time_block,17,Random forest,none,0.00017633241358659994,0.00039238823509270103,0.007529563091200231,,,0.993717277486911,0.9968487394957983,0.995280545359203,0.0011609907120743034,3
synthetic_time_block,17,Gradient boosting,none,0.00036737906114444924,0.0008927761587910902,0.018567584155601446,,,0.9978768577494692,0.9873949579831933,0.9926082365364308,0.0003869969040247678,12
synthetic_time_block,17,Boosting point + global conformal,global,0.00036737906114444924,0.0008927761587910902,0.018567584155601446,0.8730392156862745,0.001070949411571481,0.9803921568627451,0.9978991596638656,0.9890681936491411,0.003676470588235294,2
synthetic_time_block,17,VoltGuard topology-aware residual,global,8.416947064527414e-05,0.00015469059910918465,0.0017943185047619714,0.8929738562091504,0.00045535709547683345,0.9854922279792746,0.9989495798319328,0.9921752738654147,0.0027089783281733747,1
synthetic_time_block,17,VoltGuard topology-aware residual,pv_conditioned,8.416947064527414e-05,0.00015469059910918465,0.0017943185047619714,0.8941176470588236,0.0004865770579476214,0.9865145228215768,0.9989495798319328,0.9926931106471816,0.0025154798761609907,1
synthetic_time_block,17,VoltGuard topology-aware residual,topology_conditioned,8.416947064527414e-05,0.00015469059910918465,0.0017943185047619714,0.9016339869281046,0.0004770094714948416,0.9804123711340206,0.9989495798319328,0.9895941727367326,0.003676470588235294,1
synthetic_time_block,17,VoltGuard topology-aware residual,topology_pv_loading_conditioned,8.416947064527414e-05,0.00015469059910918465,0.0017943185047619714,0.913562091503268,0.0005059750052286592,0.9854922279792746,0.9989495798319328,0.9921752738654147,0.0027089783281733747,1
synthetic_time_block,17,VoltGuard topology-aware residual,topology_pv_loading_no_shrinkage,8.416947064527414e-05,0.00015469059910918465,0.0017943185047619714,0.9016339869281046,0.0005469819584810972,0.9865145228215768,0.9989495798319328,0.9926931106471816,0.0025154798761609907,1
pv_penetration_shift,17,LinDistFlow physical backbone,none,0.0009081917396745199,0.0013790646388373436,0.006415077244715572,,,1.0,0.8762088974854932,0.934020618556701,0.0,64
pv_penetration_shift,17,Random forest,none,0.0005262756998270212,0.001614399813223728,0.02540105694836714,,,0.9961013645224172,0.988394584139265,0.9922330097087378,0.0003145148608271741,6
pv_penetration_shift,17,Gradient boosting,none,0.0007230720972739662,0.0020711700080005544,0.02844182810524787,,,1.0,0.9845261121856866,0.9922027290448343,0.0,8
pv_penetration_shift,17,Boosting point + global conformal,global,0.0007230720972739662,0.0020711700080005544,0.02844182810524787,0.7953752181500873,0.001239944103689429,0.9809885931558935,0.9980657640232108,0.9894534995206136,0.0015725743041358703,1
pv_penetration_shift,17,VoltGuard topology-aware residual,global,0.0003113200858565861,0.0006186366521695107,0.005354187496212193,0.7686154741128564,0.000807963036455034,0.9828571428571429,0.9980657640232108,0.9904030710172744,0.0014153168737222833,1
pv_penetration_shift,17,VoltGuard topology-aware residual,pv_conditioned,0.0003113200858565861,0.0006186366521695107,0.005354187496212193,0.7686154741128564,0.000807963036455034,0.9828571428571429,0.9980657640232108,0.9904030710172744,0.0014153168737222833,1
pv_penetration_shift,17,VoltGuard topology-aware residual,topology_conditioned,0.0003113200858565861,0.0006186366521695107,0.005354187496212193,0.7755962769051774,0.000838299308562752,0.9828571428571429,0.9980657640232108,0.9904030710172744,0.0014153168737222833,1
pv_penetration_shift,17,VoltGuard topology-aware residual,topology_pv_loading_conditioned,0.0003113200858565861,0.0006186366521695107,0.005354187496212193,0.7686154741128564,0.000807963036455034,0.9828571428571429,0.9980657640232108,0.9904030710172744,0.0014153168737222833,1
pv_penetration_shift,17,VoltGuard topology-aware residual,topology_pv_loading_no_shrinkage,0.0003113200858565861,0.0006186366521695107,0.005354187496212193,0.7686154741128564,0.000807963036455034,0.9828571428571429,0.9980657640232108,0.9904030710172744,0.0014153168737222833,1
topology_heldout_33_to_69,17,LinDistFlow physical backbone,none,0.000936760782785994,0.0015223935901730028,0.007212331053456422,,,1.0,0.9584639498432602,0.9787915166066427,0.0,53
topology_heldout_33_to_69,17,Random forest,none,0.0005258048729974081,0.0008905964087024942,0.01663372443534128,,,1.0,0.9905956112852664,0.9952755905511811,0.0,12
topology_heldout_33_to_69,17,Gradient boosting,none,0.0006278401775183558,0.0012835936446998317,0.023559742400910855,,,1.0,0.9937304075235109,0.9968553459119497,0.0,8
